Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;dez/12;284.617.647;913.884;10.932.834;24.759.755;25.332.874;5.773.436;2.204.696;0;69.917.480;19.835;1.346.532;2.715.733;7.785.856;11.598.317;9.994.660;1.053.104;34.514.038;107.498;2.087.187;994.198;593.053;0;0;0;3.781.937;544.186;14.640.691;3.553.997;1.503.173;11.576;0;2;20.253.626;304.158;4.953.743;7.292.715;380.050;83.243;1.052;0;13.014.961;272.608;2.598.041;534.616;1.182.576;669.712;194.561;1.775;5.453.888;296.873;4.298.661;14.178.448;23.154.697;8.530.182;9.460.999;2.980.024;62.899.883;51.096;4.820.442;13.347.864;14.085.767;1.500.205;1.188.382;38.828;35.032.584;0;15.147;220.289;1.000.374;57.742;6.851;1.121;1.301.525;38.447.726
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;dez/12;252.449.372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.304;6.963.194;21.818.457;54.473.116;45.171.484;97.576.685;26.394.132;252.449.372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;dez/12;214.672.063;1.167.503;11.205.335;16.808.564;13.436.176;1.705.009;380.439;9.688;44.712.712;167.464;1.590.083;4.105.070;5.883.935;1.523.644;669.107;0;13.939.304;1.174.073;10.694.231;475.419;0;0;0;0;12.343.723;198.575;10.791.131;1.707.662;34.846;1.621;0;0;12.733.835;46.563;2.910.964;3.726.344;992.312;436.399;174.123;0;8.286.705;850.677;2.729.441;2.515.599;3.148.246;760.810;103.632;159;10.108.564;78.528;2.397.243;8.744.416;15.035.406;5.013.588;3.313.087;298.336;34.880.605;5.660;991.129;4.130.633;618.839;162.381;290.125;0;6.198.767;13.405;498.499;2.329.332;3.658.226;387.908;808.976;2.347;7.698.693;63.769.157
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;dez/12;207.437.063;691.334;8.772.129;15.379.317;15.223.167;3.501.018;1.278.794;0;44.845.759;225.832;2.435.613;4.825.878;5.363.725;834.805;38.861;102;13.724.816;515.753;8.066.152;2.373.244;1.191;0;0;0;10.956.341;331.535;9.840.336;1.062.805;3.675;0;0;0;11.238.352;46.950;3.607.285;5.169.560;2.093.803;1.101.902;457.364;0;12.476.864;688.960;2.019.703;1.847.714;2.111.716;784.264;126.705;186;7.579.248;52.168;2.404.607;8.140.815;12.548.144;3.863.396;2.427.373;438.149;29.874.652;12.316;409.959;2.034.922;157.387;71.436;2.216.062;78;4.902.161;6.945;140.528;1.035.002;5.827.988;3.497.343;1.812.738;44.389;12.364.933;59.473.937
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;dez/12;98.813.350;1.479.792;5.388.444;11.391.357;19.676.036;5.416.452;1.494.785;0;44.846.867;398.122;289.430;434.249;963.542;681.598;329.501;0;3.096.441;307.411;725.452;2.646.061;145.880;62.261;1.215;0;3.888.279;50.515;1.241.096;80.504;0;0;0;0;1.372.116;0;1.113;42.763;50.357;3.379.683;3.374.058;0;6.847.974;74.159;527.923;171.544;943;8;0;0;774.577;163.118;1.439.536;3.009.411;5.798.779;3.998.323;11.907.909;4.924.239;31.241.315;0;0;0;0;0;0;0;0;22.936;635.050;951.683;4.734.909;282.762;107.632;10.808;6.745.781;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;dez/12;98.002.263;1.152.953;7.165.176;10.960.091;10.490.633;1.954.706;711.741;5.337;32.440.638;128.925;2.255.335;2.884.944;2.307.527;403.278;434.244;546.688;8.960.942;842.344;5.548.860;1.472.167;331.278;159.601;60.023;1.888;8.416.160;110.723;4.961.874;516.726;303.247;14.523;6.985;653;5.914.732;46.916;2.623.145;4.107.453;2.067.614;906.266;121.965;0;9.873.359;905.193;2.511.101;2.017.699;2.789.866;768.506;287.579;2.219;9.282.162;76.917;631.292;1.359.420;2.333.058;611.102;276.245;471;5.288.506;43;386.575;1.638.671;28.984;11.352;6.900;0;2.072.525;2.209;675.525;2.909.785;2.677.226;296.043;1.180.634;0;7.741.421;8.011.818
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;dez/12;41.140.874;244.342;5.015.592;4.111.402;3.560.096;921.255;173.360;0;14.026.047;34.703;1.375.531;1.861.561;1.598.405;648.572;230.034;0;5.748.807;56.376;1.768.990;124.040;183;0;0;0;1.949.589;2.823;2.054.615;357.395;168.377;10.818;72;0;2.594.100;5.513;894.119;715.931;1.895;948;0;0;1.618.405;7.396;47.496;80.633;1.041;0;0;0;136.567;27.408;852.095;2.398.199;4.080.237;979.377;213.343;0;8.550.659;6;92.260;516.235;4.884;861;1.198;0;615.444;0;1.068;34.035;74.990;0;0;0;110.093;5.791.163
HSBC;51152;b1;C;3;;199;CURITIBA;PR;dez/12;38.650.297;187.593;3.575.238;4.456.487;3.177.729;627.329;58.677;0;12.083.052;13.851;209.873;489.654;609.685;84.461;135;0;1.407.658;124.027;1.882.985;793.580;193;8;0;0;2.800.793;54.931;2.255.412;304.366;29.122;51;0;5.191;2.649.072;0;1.191.471;1.700.450;12.758;1.500;0;3.572;2.909.751;37.742;663.137;1.097.242;1.139.656;440.463;176.080;21;3.554.341;985;397.870;1.164.878;1.142.358;234.045;39.398;0;2.979.535;2.294;477.880;1.533.019;55.175;17.448;1.831;0;2.087.648;1.836;252.862;574.940;391.860;1.894;0;0;1.223.392;6.955.054
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;dez/12;20.508.367;125.946;1.804.849;2.536.109;2.488.591;436.960;218.929;0;7.611.384;55.025;280.180;671.354;976.686;259.433;34;49;2.242.760;4.327;82.194;10.988;0;0;0;0;97.509;5.535;99.777;7.404;0;0;0;0;112.716;58.986;603.295;852.422;757.625;535.555;801.544;0;3.609.428;676;81.757;34.182;32.178;810;0;0;149.603;7.402;404.672;1.483.614;1.709.121;569.576;607.674;22.923;4.804.982;180;46.348;158.593;16.020;942;2.618;0;224.700;0;0;0;0;0;0;0;0;1.655.285
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;dez/12;13.638.457;1.101;42.610;89.570;95.276;18.994;68;0;247.620;25.363;2.574.181;1.210.299;716.326;87.037;166;0;4.613.373;0;0;0;0;0;0;0;0;0;0;6.805;0;0;0;0;6.805;0;0;0;0;0;0;0;0;9.903;79.006;14.746;7.068;3.236;578;0;114.536;81.063;940.526;2.474.058;4.096.170;1.047.122;17.184;0;8.656.123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
