Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;dez/12;254.953.477;3.564.236;4.025.087;5.287.067;10.722.197;5.915.559;2.384.674;0;31.898.820;1.182.307;964.722;1.778.744;2.469.210;313.682;1.005;0;6.709.670;83.525;274.178;668.447;1.150.706;171.785;0;0;2.348.641;1.382.215;7.619.033;19.211.487;49.531.948;44.896.238;69.440.983;5.041.690;197.123.593;518.234;4.362.145;1.097.213;25.815;167;0;0;6.003.574;0;4.705;3.605;0;0;0;0;8.311;1.260.560;3.139.638;2.691.159;2.775.358;887.974;97.528;8.653;10.860.869;0
BB;49906;b1;C;1;;199;BRASILIA;DF;dez/12;189.700.326;190.307;3.700.154;10.046.402;20.150.160;10.106.864;3.139.721;0;47.333.607;399.688;2.877.634;6.571.837;9.067.935;3.673.467;1.274.701;0;23.865.262;35.645;1.145.296;3.070.200;4.931.471;1.266.487;0;0;10.449.098;6.068;190.271;444.763;1.140.916;1.088.087;4.531.621;2.713.332;10.115.058;941.945;12.972.850;1.868.507;6.817;10;0;0;15.790.130;622.162;6.368.180;29.098.066;17.195.741;11.621.655;10.869.935;986.117;76.761.856;248.851;1.393.089;2.260.687;822.352;344.088;286.753;29.496;5.385.316;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;dez/12;161.511.797;112.051;965.248;2.309.992;4.679.535;2.105.985;8.364;0;10.181.175;606.631;2.131.590;4.163.314;5.349.054;678.564;89.142;0;13.018.294;1.391.448;5.809.812;14.214.458;25.416.881;4.333.257;7.716;0;51.173.572;45.058;451.055;1.107.875;2.177.810;1.972.985;6.952.332;5.341.071;18.048.187;3.489.770;30.780.116;10.219.325;119.343;20;4;0;44.608.578;3.725;24.971;108.577;84.817;59.939;94.230;0;376.258;1.391.796;4.503.619;2.545.046;4.128.746;1.021.793;6.823;0;13.597.823;10.507.910
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;dez/12;113.040.606;446.976;1.499.361;3.707.490;5.676.945;1.868.008;377.407;5.535;13.581.723;1.648.476;1.453.334;3.021.589;4.839.230;939.216;98.655;1.462;12.001.964;615.869;4.352.646;10.475.084;14.934.312;2.376.831;5.736;4.539;32.765.017;23.294;529.319;1.254.647;2.599.224;1.856.191;4.189.344;1.360.376;11.812.395;1.669.610;11.704.617;2.336.858;323.230;99.218;37.441;2.311;16.173.285;40.213;238.407;1.214.497;492.477;103.242;74.007;67;2.162.911;2.281.709;4.413.210;2.505.531;2.803.577;1.220.980;308.339;4.183;13.537.529;11.005.782
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;dez/12;110.905.702;105.379;1.869.472;4.710.041;7.519.262;2.497.928;283.130;0;16.985.213;684.252;3.727.067;4.825.206;3.567.336;579.523;169.031;17;13.552.433;751.453;4.090.355;9.647.896;13.043.980;1.817.092;4.983;0;29.355.760;32.401;191.410;522.260;1.310.839;1.185.590;4.100.353;2.551.904;9.894.756;2.928.258;12.332.806;4.954.527;96.626;706;5;0;20.312.927;86.924;1.308.077;5.798.914;2.458.409;1.208.709;814.196;0;11.675.228;974.800;3.939.682;1.828.775;1.616.582;432.305;204.289;9.295;9.005.727;123.659
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;dez/12;44.270.034;208.553;1.164.328;2.856.137;4.424.418;1.030.281;7.769;0;9.691.486;5.698;125.395;7.883;16.131;2.604;63;0;157.775;1.181.620;4.638.078;10.951.995;15.413.889;1.713.802;862;6.368;33.906.614;0;0;0;0;0;0;0;0;110.938;92.940;16.363;28;0;0;0;220.269;978;2.096;18.360;27.680;20.567;39.038;0;108.719;7.998;27.024;67.303;62.238;14.218;6.390;0;185.171;0
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;dez/12;22.639.288;118.448;2.126.440;5.617.969;9.382.998;2.832.583;124.807;29;20.203.273;86.776;40.438;58.538;73.164;15.741;727;0;275.383;69.631;165.372;360.269;304.760;19.430;0;0;919.463;0;0;0;0;0;0;0;0;103.901;1.043.096;46;61;32;33;0;1.147.169;0;0;0;0;0;0;0;0;2.350;9.803;24.662;44.033;13.132;18;1;94.000;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;dez/12;20.211.197;9.036;83.337;214.119;355.787;91.924;4.886;85;759.174;685.797;1.631.437;2.346.751;1.317.772;108.872;147;1.989;6.092.766;82.763;532.493;1.255.424;2.025.633;303.125;420;1;4.199.858;4.472;78.344;171.914;436.067;242.661;1.667.278;873.442;3.474.178;444.904;2.421.693;309.573;5.208;194;0;78;3.181.652;24.571;92.818;891.087;269.202;28;0;0;1.277.705;199.842;309.085;629.086;35.885;13.975;29.414;8.577;1.225.865;0
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;dez/12;12.457.585;10.956;60.230;134.581;269.651;62.659;287;0;538.363;109.933;258.597;554.603;984.447;127.403;35;0;2.035.018;2.181;8.986;18.840;35.490;5.066;32;0;70.594;565;11.698;26.666;65.822;57.150;188.251;104.096;454.249;830.653;6.319.394;1.481.248;356.140;551;0;0;8.987.987;0;0;35.710;0;0;0;0;35.710;89.743;191.892;51.896;46;0;0;2.088;335.664;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;dez/12;11.045.797;27.435;511.872;1.390.602;2.613.076;1.064.604;36.003;652;5.644.244;41.038;321.358;443.748;138.519;21.582;28.930;3;995.178;748;24.009;68.797;126.062;35.617;185;0;255.419;1.166;29.265;83.311;223.856;210.196;733.195;452.480;1.733.469;17.851;35.888;8.399;1.255;0;0;0;63.393;30.507;128.616;472.160;235.058;134.865;187.652;0;1.188.859;103.752;557.254;165.018;210.747;83.728;44.404;334;1.165.235;0
