Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BB;49906;b1;C;1;;199;BRASILIA;DF;jun/13;524.852.527;159.944.187;114.443.085;158.601.687;23.834.496;8.770.947;3.789.982;1.800.193;2.765.665;10.495.442;40.406.844
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;jun/13;424.172.084;46.096.862;215.005.115;56.022.789;75.270.776;10.538.786;4.492.407;2.176.088;1.580.542;12.988.718;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;jun/13;392.277.274;142.476.569;87.615.527;23.335.098;18.032.561;8.265.777;4.146.873;3.080.438;2.808.158;12.958.087;89.558.187
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;jun/13;337.095.487;34.678.050;115.289.272;52.248.933;46.036.868;7.883.041;2.576.063;2.302.742;1.847.599;10.474.232;63.758.687
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;jun/13;264.989.435;96.337.892;112.210.589;46.652.841;8.542.639;417.174;592.870;21.900;19.379;194.150;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;jun/13;217.334.006;35.761.352;103.025.422;20.122.052;13.896.712;5.804.578;2.120.852;3.526.488;1.338.119;8.765.187;22.973.244
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;jun/13;60.970.797;6.119.267;29.294.353;10.095.363;7.142.560;1.569.166;1.183.320;610.738;517.520;2.068.705;2.369.805
HSBC;51152;b1;C;3;;199;CURITIBA;PR;jun/13;60.651.580;24.594.705;18.031.898;4.436.680;1.904.806;679.352;363.666;579.881;583.536;2.147.443;7.329.613
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;jun/13;50.074.775;29.225.184;8.861.482;1.940.011;937.541;326.037;250.495;162.252;82.004;799.447;7.490.322
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;jun/13;23.667.324;3.208.028;8.852.030;3.529.897;4.560.031;1.890.388;480.181;381.869;88.243;587.438;89.219
CITIBANK;30403;b1;C;3;;199;SAO PAULO;SP;jun/13;22.588.745;4.684.591;9.449.064;3.350.558;1.642.103;1.260.356;399.162;350.138;257.126;1.195.646;0
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;jun/13;22.183.787;0;20.098.893;736.369;333.897;159.377;141.979;113.760;97.431;502.081;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;jun/13;22.024.100;426.042;15.320.416;2.944.058;1.877.283;388.598;253.967;118.954;100.135;594.647;0
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;jun/13;13.886.207;587.237;8.763.621;1.917.722;900.657;353.983;202.753;180.389;164.661;815.184;0
BTG PACTUAL;49944;b1;C;2;;199;RIO DE JANEIRO;RJ;jun/13;13.378.847;1.198.931;3.838.694;2.884.351;882.679;86.585;102.108;89.852;18.342;22.855;4.254.449
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;jun/13;11.495.931;3.611.204;3.806.107;2.588.508;158.477;131.394;170.608;220.698;81.351;727.582;0
BIC;32119;b1;C;2;;199;SAO PAULO;SP;jun/13;11.434.708;4.971.851;3.374.023;1.097.024;601.971;330.695;118.815;147.709;63.460;189.940;539.221
MERCEDES-BENZ;51262;b2;C;3;;198;SAO PAULO;SP;jun/13;9.550.099;13.381;3.337.985;5.572.153;270.055;128.263;63.098;34.909;26.365;103.890;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;jun/13;9.257.513;2.201.665;5.027.038;781.671;233.607;396.068;159.421;119.942;63.972;274.128;0
ABC-BRASIL;41856;b1;C;3;;199;SAO PAULO;SP;jun/13;9.201.198;362.358;2.305.875;3.586.969;982.968;78.243;14.804;13.856;29.637;36.665;1.789.823
FIBRA;49951;b1;C;2;;199;SAO PAULO;SP;jun/13;8.977.278;277.033;4.141.439;1.765.612;324.952;180.849;78.380;50.216;57.210;189.042;1.912.546
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;jun/13;8.822.146;8.249.279;421.159;40.520;70.635;8.535;12.923;13.759;0;5.336;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;jun/13;8.599.204;3.237.561;4.227.447;619.619;168.093;84.247;54.962;26.635;108.651;71.990;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;jun/13;8.498.123;3.676;7.436.376;289.347;584.782;46.520;33.573;29.739;27.518;46.592;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;jun/13;7.965.532;790.561;5.228.212;1.726.910;172.806;10.374;5.446;5.284;3.772;22.166;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;jun/13;7.851.819;1.577.587;1.852.544;3.769.692;240.432;46.566;2.760;4.991;20.208;33.530;303.510
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;jun/13;7.492.639;19.040;3.258.279;3.278.377;290.794;146.172;154.554;39.240;47.509;257.365;1.309
