Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;jun/14;390.276.766;1.981.547;3.760.573;10.171.692;21.229.098;11.518.012;1.971.665;0;50.632.587;1.469.306;2.225.945;2.796.654;3.327.866;267.382;352;0;10.087.504;348.014;954.715;2.403.557;3.858.872;718.971;423;0;8.284.552;1.678.594;9.610.330;25.499.606;57.664.759;45.406.658;113.962.809;37.130.797;290.953.552;1.047.187;6.127.747;1.503.039;105.035;415;0;0;8.783.423;30.771;1.009.771;702.991;246.345;199.469;157.660;0;2.347.008;2.072.683;4.555.125;4.290.055;3.124.506;1.836.717;2.443.292;865.761;19.188.138;0
BB;49906;b1;C;1;;199;BRASILIA;DF;jun/14;252.832.884;213.848;4.085.172;11.495.538;23.242.104;11.683.892;4.761.683;0;55.482.239;426.948;3.127.950;7.924.122;9.169.195;3.325.291;1.174.417;0;25.147.923;55.364;1.249.032;3.246.645;4.786.383;764.554;39;0;10.102.017;7.285;364.726;826.681;2.190.304;2.110.478;9.393.129;8.458.590;23.351.193;1.153.748;15.861.487;2.490.053;7.972;11;0;0;19.513.270;763.696;15.532.259;28.093.167;29.297.021;16.566.531;19.346.400;757.241;110.356.315;256.872;1.449.598;3.636.829;1.016.824;442.224;358.985;519;7.161.851;1.718.077
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;jun/14;182.230.497;139.545;2.683.194;6.981.774;13.745.069;6.173.649;59.892;0;29.783.123;624.209;3.362.041;5.898.436;3.838.246;229.241;100.978;0;14.053.152;1.026.992;4.492.723;11.124.843;15.436.137;1.715.672;2.988;0;33.799.355;58.747;726.613;995.903;2.482.096;2.298.083;8.705.733;7.345.441;22.612.616;4.403.695;36.529.268;12.223.904;382.130;260;0;0;53.539.256;1.469;41.737;84.548;103.835;87.772;69.244;0;388.604;1.225.920;5.539.761;2.705.362;4.248.649;933.251;53.101;0;14.706.045;13.348.347
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;jun/14;132.234.603;163.678;2.885.793;7.729.299;12.463.832;4.356.887;549.249;0;28.148.738;659.735;4.157.753;5.331.619;3.363.193;299.543;8.669;2;13.820.513;425.246;3.674.533;8.986.294;10.664.453;1.035.394;5.883;6;24.791.807;42.720;251.241;703.577;1.795.214;1.647.812;6.057.822;4.391.822;14.890.207;3.200.759;14.091.604;5.693.721;134.969;1.258;19;0;23.122.331;76.763;2.982.728;5.988.971;3.873.365;1.873.232;753.130;0;15.548.190;1.085.642;4.873.384;2.459.862;2.128.082;713.716;338.968;19.463;11.619.117;293.701
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;jun/14;117.088.322;457.020;1.304.864;3.317.465;4.965.823;1.491.899;326.284;73;11.863.427;909.034;1.310.878;2.935.655;4.205.585;913.182;82.224;202;10.356.760;690.416;4.646.667;11.422.800;14.855.498;1.788.098;8.568;1.816;33.413.862;30.445;763.600;1.773.700;3.727.162;2.706.180;6.426.113;2.478.075;17.905.274;1.355.692;12.007.637;2.585.185;540.215;182.447;32.796;94;16.704.066;20.590;470.011;1.161.020;884.653;329.783;133.273;0;2.999.330;1.735.344;5.341.891;2.751.095;3.098.633;1.272.587;360.466;854;14.560.870;9.284.734
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;jun/14;37.531.519;130.306;894.855;2.166.222;2.863.968;586.427;282;0;6.642.060;7.780;32.440;35.632;19.103;237;0;0;95.192;974.221;4.578.516;10.557.633;12.834.641;1.292.396;359;0;30.237.765;0;0;0;0;0;0;0;0;152.977;175.899;37.783;2;0;0;0;366.661;1.031;7.734;12.014;33.712;48.470;33.903;0;136.865;2.533;9.672;14.790;17.331;8.650;0;0;52.977;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;jun/14;19.463.743;10.160;99.375;271.893;433.651;76.252;1.663;106;893.100;586.183;1.362.128;2.021.436;1.076.881;49.345;4;6.248;5.102.225;57.040;332.731;806.320;994.695;132.773;165;0;2.323.724;6.816;91.616;218.360;558.248;296.319;2.260.874;1.373.369;4.805.603;396.070;2.522.068;382.396;248;0;0;1;3.300.784;19.348;504.818;618.299;327.513;3.210;0;0;1.473.187;210.090;648.264;606.648;46.447;13.104;32.205;8.362;1.565.120;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;jun/14;13.826.700;78.239;690.651;1.873.729;3.417.504;1.300.114;159.153;259;7.519.648;35.622;360.545;603.716;187.213;10.146;36.241;3;1.233.486;713;18.375;47.079;70.520;10.408;142;0;147.235;1.655;36.351;102.245;275.898;248.192;930.785;648.232;2.243.356;29.785;55.039;10.633;2.187;0;0;0;97.644;11.495;214.525;336.311;257.348;185.172;255.528;5.879;1.266.258;108.096;628.841;204.787;227.748;87.706;61.646;248;1.319.071;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;jun/14;12.713.174;236.271;1.186.868;2.962.112;4.358.566;1.277.617;222.282;62;10.243.778;5.004;1.540;7.330;4.349;725;0;0;18.948;41.423;146.665;338.484;261.292;20.653;0;0;808.517;61;347;717;2.070;2.300;9.595;114;15.206;151.098;1.191.721;0;0;0;0;0;1.342.819;0;0;0;0;0;0;0;0;12.243;39.293;105.902;116.197;10.254;17;0;283.905;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;jun/14;12.064.729;32.303;208.027;556.843;998.627;466.032;93.852;0;2.355.683;8.027;13.022;27.958;16.175;80;1;0;65.263;234.765;715.864;1.911.393;4.091.673;736.748;897;0;7.691.342;1.837;10.523;26.030;58.158;44.210;104.499;24.925;270.181;193.740;787.634;122.842;19.217;487;77;0;1.123.997;0;0;0;0;0;0;0;0;3.662;47.311;107.782;193.280;73.936;119.103;13.189;558.263;0
