Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
BB;49906;b1;C;1;;199;BRASILIA;DF;set/13;324.917.380;1.169.073;11.676.394;23.854.677;26.084.294;7.287.282;1.548.676;1;71.620.396;32.314;1.821.627;2.367.183;6.889.607;7.970.421;19.432.878;3.029.572;41.543.602;114.648;2.576.808;1.053.669;647.935;0;0;0;4.393.060;568.012;12.119.558;3.840.873;1.193.066;11.428;0;3;17.732.938;67.658;4.943.272;8.223.631;363.911;60.108;824;0;13.659.405;347.739;1.984.902;1.125.051;1.685.563;939.890;2.273.234;53.691;8.410.071;348.969;6.099.729;14.718.743;28.616.542;11.089.653;12.159.231;3.962.619;76.995.487;53.252;4.415.961;17.338.184;13.250.102;1.975.845;4.907.782;46.443;41.987.571;421;74.184;717.467;1.734.384;293.384;13.528;67;2.833.436;45.741.413
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;;4;RIO DE JANEIRO;RJ;set/13;267.946.054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74.749;10.111.345;25.067.370;59.147.949;52.396.326;105.084.550;16.063.766;267.946.054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/13;238.195.703;900.042;10.821.626;15.149.512;12.656.202;1.846.098;476.914;8.579;41.858.973;126.801;1.752.687;3.414.488;5.355.498;1.275.121;576.910;0;12.501.505;1.013.477;10.453.428;521.194;0;0;0;0;11.988.099;136.797;9.502.962;2.456.664;61.246;706;0;0;12.158.375;14.847;2.779.383;3.907.560;3.250.189;718.075;185.226;0;10.855.280;652.272;2.331.410;2.552.240;2.917.124;568.426;132.052;0;9.153.525;79.474;2.870.253;8.644.947;17.523.209;6.421.955;4.236.254;283.073;40.059.166;12.792;1.908.167;4.001.453;638.930;140.819;289.108;0;6.991.268;10.387;450.116;3.128.170;4.262.436;663.597;865.828;1.052;9.381.586;83.247.926
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/13;216.508.062;617.567;9.090.835;14.544.135;15.427.273;3.559.455;1.026.415;0;44.265.678;184.465;2.063.511;4.444.398;5.100.913;726.701;33.106;74;12.553.169;465.577;8.615.260;2.911.697;2.098;0;0;0;11.994.633;281.906;8.919.321;980.815;1.530;0;0;0;10.183.572;27.603;3.352.785;5.378.333;6.061.442;1.061.499;325.890;0;16.207.551;732.550;2.109.270;2.234.283;2.123.546;952.943;151.944;37;8.304.573;53.031;2.622.198;7.455.667;13.707.125;5.079.249;3.003.416;426.013;32.346.700;4.206;949.600;1.410.273;276.762;833.998;1.490.670;0;4.965.509;58.002;113.674;1.185.019;7.027.414;3.931.357;2.361.390;72.652;14.749.509;60.937.169
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/13;130.392.717;2.519.050;9.432.382;14.595.125;26.226.909;5.015.518;1.067.143;0;58.856.128;583.884;390.139;468.585;1.050.083;739.226;182.179;8;3.414.104;533.215;1.033.531;3.507.702;37.108;40.399;0;0;5.151.955;57.123;1.386.506;76.634;0;0;0;0;1.520.263;208;38.826;528.925;753.295;2.827.430;6.555.829;0;10.704.514;144.988;779.478;346.561;25.689;5.265;712;0;1.302.693;265.063;1.818.459;3.821.728;7.572.398;5.612.137;16.863.206;6.605.052;42.558.043;0;0;0;0;0;0;0;0;21.448;1.195.280;1.328.630;3.878.028;316.836;133.868;10.928;6.885.018;0
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/13;103.733.609;1.292.197;6.814.925;10.167.625;9.818.750;1.972.745;856.275;74.821;30.997.338;86.573;892.744;1.924.943;2.255.349;406.706;858.377;503.034;6.927.727;688.681;5.100.764;1.240.324;441.716;211.771;75.421;1.849;7.760.527;117.917;7.301.250;2.121.471;87.974;20.935;7.679;710;9.657.937;95.967;3.044.500;4.004.957;3.928.012;786.149;249.511;0;12.109.095;681.114;1.982.238;1.876.136;2.435.359;731.225;375.783;17.864;8.099.719;24.438;581.808;1.753.001;2.805.945;1.010.986;499.052;506;6.675.736;47;645.989;1.329.733;107.796;22.812;10.423;0;2.116.800;19.066;670.673;2.580.760;3.461.947;142.699;1.796.106;0;8.671.251;10.717.478
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;set/13;42.754.618;247.184;4.447.514;4.491.856;4.137.965;801.539;87.381;0;14.213.440;37.003;1.378.675;1.660.303;1.317.972;532.559;359.696;0;5.286.209;66.748;1.678.817;190.146;195;0;0;0;1.935.906;3.087;1.954.687;461.876;145.755;112;34;0;2.565.550;2.649;746.732;466.088;77.883;517;0;0;1.293.869;21.027;47.228;8.952;1.959;0;0;0;79.166;34.083;909.741;2.417.141;3.903.070;967.298;338.037;0;8.569.371;2.420;404.431;944.516;95.010;11.108;6.771;0;1.464.255;0;0;28.427;105.140;13.475;0;0;147.043;7.199.812
HSBC;51152;b1;C;3;;199;CURITIBA;PR;set/13;41.978.798;307.676;3.318.022;4.586.644;3.230.147;759.066;88.483;0;12.290.038;10.925;190.781;449.554;569.502;67.440;416;0;1.288.619;88.846;1.730.896;697.469;5;16;0;16.947;2.534.179;99.415;2.428.189;420.407;22.696;1.232;1.745;1.594;2.975.279;85.752;2.312.647;3.053.665;1.770.924;671.498;28.481;36.486;7.959.452;90.888;135.799;87.563;113.650;67.265;34.295;77;529.537;13.648;588.244;660.934;1.577.800;349.867;58.124;313;3.248.930;7.477;758.754;1.314.220;176.113;12.130;1.147;0;2.269.841;3.255;330.405;812.441;430.008;5.500;0;0;1.581.609;7.301.314
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/13;18.845.350;186.360;1.343.373;1.959.715;1.939.682;406.559;210.475;0;6.046.164;75.726;249.233;635.762;871.776;126.273;9;50;1.958.828;3.324;64.091;16.500;0;0;0;0;83.915;9.773;116.453;5.931;0;0;0;0;132.156;36.495;643.256;1.034.604;999.659;539.760;690.880;0;3.944.654;1.330;60.990;38.511;3.884;205;0;0;104.920;6.014;352.853;883.510;1.573.688;617.897;610.122;18.673;4.062.757;138;115.765;220.432;64.712;5.526;3.610;0;410.183;0;0;0;0;0;0;0;0;2.101.773
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;set/13;13.788.173;6.803;41.018;77.006;82.815;29.686;16;0;237.343;24.229;621.299;726.682;654.649;56.760;34;0;2.083.653;0;0;0;0;0;0;0;0;9.819;2.033.238;449.038;121;0;0;0;2.492.215;0;0;0;0;0;0;0;0;305;74.479;7.448;10.852;3.735;513;0;97.332;78.065;968.911;2.525.605;3.979.331;1.281.657;44.062;0;8.877.630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
