Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;;6;BRASILIA;DF;set/14;406.875.573;2.155.880;3.897.135;10.538.611;21.785.226;11.848.054;1.246.087;0;51.470.992;1.457.155;1.315.692;2.806.186;3.230.455;138.009;2;1;8.947.500;345.158;1.110.115;2.767.112;4.073.355;638.428;986;0;8.935.154;1.668.992;9.736.560;27.039.816;60.394.943;47.283.550;120.838.458;41.089.463;308.051.781;1.187.479;6.477.727;1.600.732;114.559;497;0;0;9.380.994;65.659;1.127.153;897.030;295.870;246.577;159.186;0;2.791.474;1.837.468;4.552.967;4.066.433;3.147.897;1.748.782;1.839.310;104.820;17.297.677;0
BB;49906;b1;C;1;;199;BRASILIA;DF;set/14;256.806.172;205.569;4.181.855;11.731.825;23.628.460;12.133.367;4.833.055;0;56.714.130;421.449;2.832.769;7.969.645;8.928.027;3.259.590;1.229.188;0;24.640.667;54.626;1.223.460;3.212.890;4.658.344;723.398;126;0;9.872.844;8.150;388.664;862.712;2.296.495;2.216.867;9.996.975;9.607.994;25.377.857;1.102.002;16.304.061;2.524.228;7.479;12;0;0;19.937.783;939.119;12.328.735;33.447.400;26.234.046;17.514.329;20.564.210;88.092;111.115.930;254.416;1.654.231;3.842.673;905.632;431.541;377.294;34;7.465.821;1.681.140
ITAU;10069;b1;C;2;;199;SAO PAULO;SP;set/14;187.810.647;163.413;3.129.701;8.278.171;16.099.311;7.135.490;146.390;0;34.952.478;669.715;3.704.950;5.841.949;3.462.638;221.169;101.151;0;14.001.572;854.935;4.264.996;10.353.921;13.895.394;1.592.815;2.877;0;30.964.939;56.106;422.411;1.367.257;2.612.034;2.433.351;9.312.464;7.931.028;24.134.651;4.500.255;36.954.627;12.577.625;252.944;1;0;0;54.285.452;2.710;48.950;92.599;109.927;93.742;56.548;0;404.476;1.224.341;5.419.950;2.769.261;4.324.313;958.852;58.986;0;14.755.702;14.311.376
BRADESCO;10045;b1;C;2;;199;OSASCO;SP;set/14;135.753.140;162.838;2.989.014;7.989.453;12.837.167;4.443.413;546.360;0;28.968.245;676.942;4.344.262;5.349.453;3.218.031;293.229;8.500;13;13.890.431;373.481;3.717.696;9.028.607;10.522.455;1.070.297;5.779;5;24.718.320;38.697;267.160;752.052;1.919.257;1.766.759;6.533.287;4.814.566;16.091.777;3.179.782;14.374.631;5.964.008;190.596;1.507;9;0;23.710.534;114.991;2.779.266;6.486.970;4.253.983;1.925.569;835.040;71;16.395.891;1.109.372;5.103.664;2.078.902;2.087.274;712.486;328.156;15.575;11.435.428;542.515
SANTANDER;30379;b1;C;3;;199;SAO PAULO;SP;set/14;119.110.337;483.161;1.297.809;3.296.718;4.877.360;1.435.284;312.112;167;11.702.610;844.656;1.218.377;2.716.870;3.913.920;835.622;84.802;75;9.614.321;636.120;4.732.615;11.512.488;14.691.937;1.779.451;9.132;1.849;33.363.591;28.966;822.758;1.916.501;4.021.196;2.924.548;6.987.697;2.755.350;19.457.016;1.292.296;12.158.767;2.649.192;546.135;173.792;33.666;17;16.853.864;33.997;704.311;1.330.162;800.998;364.158;145.165;0;3.378.792;1.639.827;5.081.507;2.868.600;3.214.137;1.280.158;366.844;803;14.451.876;10.288.266
VOTORANTIM;51011;b1;C;2;;199;SAO PAULO;SP;set/14;36.691.360;112.673;852.599;2.059.569;2.658.051;558.988;7.738;0;6.249.618;7.668;19.884;63.284;20.174;188;22;0;111.220;878.909;4.505.590;10.384.152;12.686.731;1.294.412;420;0;29.750.214;0;0;0;0;0;0;0;0;173.599;169.856;27.993;3;0;0;0;371.450;406;6.282;15.793;41.670;49.966;30.422;0;144.539;2.022;6.782;21.194;26.214;8.108;0;0;64.320;0
HSBC;51152;b1;C;3;;199;CURITIBA;PR;set/14;19.756.457;10.438;107.344;282.001;464.720;84.895;1.284;77;950.760;564.527;1.382.024;1.963.908;1.135.170;89.854;12;6.297;5.141.793;50.574;308.489;736.432;915.000;128.315;318;0;2.139.128;6.605;97.476;230.484;590.134;314.970;2.412.518;1.494.287;5.146.475;383.737;2.562.005;404.445;150;0;0;40;3.350.377;20.930;306.709;900.148;289.362;3.283;0;0;1.520.432;215.078;570.053;622.967;48.853;12.506;32.459;5.578;1.507.493;0
BANRISUL;30173;b1;C;1;;199;PORTO ALEGRE;RS;set/14;14.441.742;88.045;708.258;1.919.415;3.474.201;1.321.241;166.444;203;7.677.806;35.037;564.561;423.705;228.965;11.434;38.314;3;1.302.019;722;17.556;44.068;66.384;10.834;189;0;139.754;1.680;38.271;109.179;289.965;262.217;998.015;719.477;2.418.804;31.524;65.244;5.322;0;0;0;0;102.090;18.487;124.695;598.579;267.080;186.362;257.735;3.746;1.456.685;106.547;624.699;223.054;239.663;88.267;62.197;156;1.344.584;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;set/14;12.562.314;31.101;275.607;751.627;1.379.446;672.463;119.543;0;3.229.787;7.323;12.018;25.712;15.548;77;0;0;60.679;214.487;698.915;1.856.697;3.828.559;624.365;838;0;7.223.860;1.758;10.390;25.936;57.832;43.903;104.136;24.646;268.600;156.546;820.731;126.847;17.493;424;52;0;1.122.094;0;0;0;0;0;0;0;0;10.008;52.793;109.133;248.795;85.439;138.189;12.937;657.294;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;set/14;10.462.227;229.080;989.343;2.316.847;3.202.107;875.332;200.796;289;7.813.795;3.607;7.367;11.809;8.886;1.134;384;0;33.187;46.012;189.283;461.548;396.665;36.262;0;0;1.129.771;54;495;1.145;3.387;3.785;16.250;169;25.284;143.621;1.316.137;0;0;0;0;0;1.459.758;0;0;0;0;0;0;0;0;1;22;108;218;66;16;0;432;0
