Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Qt_Clientes;Qt_Operações
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;01/06/2020;29418023;87082018
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;01/06/2020;26035069;74457586
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;01/06/2020;18269933;41983445
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;01/06/2020;14320707;29795484
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;01/06/2020;13672833;35072671
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;01/06/2020;8626607;21290337
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2020;4924694;8071285
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;01/06/2020;4090322;17877200
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;3771006;5800633
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;3323909;6756129
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/06/2020;3143803;9018818
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;2890304;3934653
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;01/06/2020;2206797;7149673
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/06/2020;2120558;9267734
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;01/06/2020;1974376;4751614
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2020;1760671;2352333
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;01/06/2020;1657140;2222413
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;01/06/2020;1566875;2395324
BANCO DIGIO S.A.;27.098.060;b2;I;3;S4;8;BARUERI;SP;01/06/2020;1196842;1778572
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2020;1052818;1781713
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;01/06/2020;924155;1776123
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2020;865020;1104405
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;01/06/2020;864860;1917908
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2020;805127;1547459
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;01/06/2020;749042;940298
SAX S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7.747.410;n1;I;2;S4;14;BARUERI;SP;01/06/2020;583215;3616170
CREFISA;52.010;b1;C;2;S4;199;SAO PAULO;SP;01/06/2020;560882;700467
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/06/2020;555269;1028449
BRASIL CARD ADMINISTRADORA DE CARTAO DE CREDITO LTDA;3.130.170;n4;I;2;S5;41;MONTE BELO;MG;01/06/2020;480879;559039
FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/A;2.732.968;n4;I;2;;41;EUSEBIO;CE;01/06/2020;402194;551647
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2020;374608;379462
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4.814.563;n1;I;2;S4;14;SOROCABA;SP;01/06/2020;373217;769819
